consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
BRB,ssp126,1240.503703524558,1129.9815679855446,9.780879500189085
BRB,ssp585,1233.9926903486212,1129.9815679855446,9.204674245129555
BRN,ssp126,2238.1297877823517,2310.5667634122165,-3.135030624386317
BRN,ssp585,2237.0045459470466,2310.5667634122165,-3.1837304435442535
BTN,ssp126,107.55197390385531,100.45182004133893,7.068218235960735
BTN,ssp585,107.00274875811475,100.45182004133893,6.521463437974455
BWA,ssp126,1912.8816156533105,1777.2448922822223,7.631853323090009
BWA,ssp585,1868.6332314403487,1777.2448922822223,5.142135422922581
CAF,ssp126,1490.6187561429313,1519.5975544902412,-1.9070048027966917
CAF,ssp585,1462.3859886237549,1519.5975544902412,-3.7649156316047336
CAN,ssp126,237497.04549646052,186631.1730695902,27.254756850241552
CAN,ssp585,237474.43691132558,186631.1730695902,27.24264280478865
CHE,ssp126,13626.812293241977,13212.11353490812,3.138776829597852
CHE,ssp585,13687.31670887182,13212.11353490812,3.5967233607866897
CHL,ssp126,21355.818606599256,20822.894355702378,2.559318804549072
CHL,ssp585,21283.39985783591,20822.894355702378,2.2115345459043834
CHN,ssp126,6963895.807344871,6845071.03029752,1.735917370636639
CHN,ssp585,6909746.158909621,6845071.03029752,0.9448423299895252
CIV,ssp126,124200.36824405428,125462.83243320048,-1.0062455666449073
CIV,ssp585,122212.34330947655,125462.83243320048,-2.5907984545579077
CMR,ssp126,242022.74094901976,279812.1629007158,-13.505282100658587
CMR,ssp585,242510.22644269382,279812.1629007158,-13.331063264486327
COD,ssp126,11867.317208397197,12355.067431253405,-3.947774672782392
COD,ssp585,11466.053807533897,12355.067431253405,-7.195538419083467
COG,ssp126,47136.62267195969,52099.18385796298,-9.52521866663521
COG,ssp585,46842.5339968182,52099.18385796298,-10.089697135133404
COL,ssp126,27704.302841939807,27945.63422574763,-0.8635745456994307
COL,ssp585,27885.29733552197,27945.63422574763,-0.21590810835873347
COM,ssp126,20598.135482151116,21346.347199248914,-3.50510422281581
COM,ssp585,19877.734121530568,21346.347199248914,-6.8799268746552595
CPV,ssp126,1902.6431579475097,1898.1062493121083,0.23902290174987192
CPV,ssp585,1896.102229308892,1898.1062493121083,-0.10557996971679319
CRI,ssp126,11157.168561856073,11212.916170759332,-0.49717315330186473
CRI,ssp585,11079.795118445349,11212.916170759332,-1.1872116966425923
CUB,ssp126,3268.162178655225,3231.3868276603234,1.1380671196685137
CUB,ssp585,3266.2798233728913,3231.3868276603234,1.0798148774355207
CYP,ssp126,4684.272394374591,4468.123787041198,4.837569808613733
CYP,ssp585,4660.861238525442,4468.123787041198,4.31361038033987
CZE,ssp126,10913.574291016754,10779.10644790483,1.2474859930348081
CZE,ssp585,10909.9239874102,10779.10644790483,1.2136213714709048
DEU,ssp126,97021.22727378014,93059.25059290421,4.257477527095014
DEU,ssp585,97652.81485355123,93059.25059290421,4.936171558851218
DJI,ssp126,333.7374166293154,320.9570913160191,3.9819420287282634
DJI,ssp585,332.2857623684442,320.9570913160191,3.529652828661356
DMA,ssp126,374.566778788435,257.7404880488613,45.32710076867172
DMA,ssp585,377.349060353857,257.7404880488613,46.40659029182904
DNK,ssp126,39952.33707311699,36537.648950259,9.345670071729643
DNK,ssp585,40389.233211512044,36537.648950259,10.541412411336184
DOM,ssp126,35200.46085434519,27717.09990277303,26.999076302436208
DOM,ssp585,35153.870406107926,27717.09990277303,26.8309835062898
DZA,ssp126,10848.489126952574,10960.655753752857,-1.0233568987136343
DZA,ssp585,10687.73745653383,10960.655753752857,-2.4899814696358935
ECU,ssp126,4260.567957566159,4259.077090558519,0.035004461669527656
ECU,ssp585,4237.6095249823675,4259.077090558519,-0.5040426627576258
EGY,ssp126,165135.0818618089,159512.55440236005,3.524818143947707
EGY,ssp585,163463.47075237098,159512.55440236005,2.476868585556594
ERI,ssp126,8.865883137549451,8.455427557725033,4.854344467175037
ERI,ssp585,8.975920623768125,8.455427557725033,6.155727341872392
ESP,ssp126,495467.31531997485,483243.69433993596,2.5294941503034343
ESP,ssp585,496646.9114705673,483243.69433993596,2.773593797005219
EST,ssp126,3296.988541803262,3000.5688622648727,9.878782762367509
EST,ssp585,3358.9900674850755,3000.5688622648727,11.945108466854562
ETH,ssp126,430.01735981822566,438.8897636539573,-2.021556338399152
ETH,ssp585,431.32169558569245,438.8897636539573,-1.724366502708384
FIN,ssp126,9719.904422612162,9180.003204357441,5.881274834397097
FIN,ssp585,9787.896663057949,9180.003204357441,6.621930789871196
FJI,ssp126,10009.580053524043,9404.830495393458,6.430201569574217
FJI,ssp585,9953.943640406296,9404.830495393458,5.838628833149057
FRA,ssp126,327721.05446070235,322725.6854375356,1.5478684370580225
FRA,ssp585,329070.70107862476,322725.6854375356,1.9660708544121366
FSM,ssp126,5138.805795007231,4895.51253138423,4.969719964218095
FSM,ssp585,5135.8763417695645,4895.51253138423,4.909880402601492
GAB,ssp126,41085.37372425743,44537.06184717101,-7.75014780893732
GAB,ssp585,39713.12987336843,44537.06184717101,-10.831275736948948
GBR,ssp126,173292.88666154616,157643.221031814,9.92726837684565
GBR,ssp585,177078.03603608516,157643.221031814,12.328354417694259
GEO,ssp126,4624.250864945615,4251.011940900392,8.780001779203863
GEO,ssp585,4626.116777933791,4251.011940900392,8.823895163040865
GHA,ssp126,55938.98431223828,55469.11837982126,0.8470766187406208
GHA,ssp585,55215.775281425726,55469.11837982126,-0.45672818641317214
GIN,ssp126,485555.13989975763,491207.94975106284,-1.150797712897353
GIN,ssp585,488469.68452733697,491207.94975106284,-0.5574553964596027
GMB,ssp126,62260.45209404486,63725.174001177395,-2.2984980897901917
GMB,ssp585,60220.77919474119,63725.174001177395,-5.4992314440309835
GNB,ssp126,9845.994431840616,8477.199173205712,16.14678658207442
GNB,ssp585,9598.97848723723,8477.199173205712,13.232900290666501
GNQ,ssp126,8856.784610366292,9866.029311788185,-10.229492225570635
GNQ,ssp585,8739.756793862256,9866.029311788185,-11.415661583127768
GRC,ssp126,83430.99777780288,80743.88942155057,3.3279402014229977
GRC,ssp585,83277.5846804018,80743.88942155057,3.1379405636793334
GRD,ssp126,551.2993396247716,404.2721232766473,36.368378595204845
GRD,ssp585,552.8291975609764,404.2721232766473,36.746801406999325
GTM,ssp126,15913.916517138407,16618.96512231441,-4.242433869900415
GTM,ssp585,15744.74767807499,16618.96512231441,-5.260360304057696
GUY,ssp126,590.2990325664487,560.085185305373,5.394509273549575
GUY,ssp585,585.8393497111558,560.085185305373,4.5982584580845485
HND,ssp126,4268.789502819927,4399.856272712282,-2.978887531059249
HND,ssp585,4302.645911921557,4399.856272712282,-2.2093985522576998
