"","year","consumer_iso3c","exposure","sensitivity","adaptive_capacity","vulnerability","region"
"1",1996,"AGO",0.280102822723711,0.313177666103111,0.457541577698015,0.135738911128807,"Africa"
"2",1996,"BEN",0.237212101310534,0.0829772671139181,0.714038097794054,-0.393848729369601,"Africa"
"3",1996,"BFA",0.179394572935235,0.0141738181285733,0.491413110067361,-0.297844719003553,"Africa"
"4",1996,"CAF",0.197141042606115,0.0001345447491062,0.405062540863876,-0.207786953508655,"Africa"
"5",1996,"CMR",0,0.177489616399622,0.478552750960656,-0.301063134561034,"Africa"
"6",1996,"COG",0.0676508963246194,0.216986423582159,0.549135764546111,-0.264498444639333,"Africa"
"7",1996,"CPV",0.233618023477568,0.225498298553133,0.866193659258677,-0.407077337227976,"Africa"
"8",1996,"DJI",0.297238073260212,0.0270500912485806,0.41782759955552,-0.0935394350467271,"Africa"
"9",1996,"DZA",0.212160796370732,0.0584247949346015,0.499514044015317,-0.228928452709984,"Africa"
"10",1996,"EGY",0.28946813666261,0.0741745298013837,0.689848547848725,-0.326205881384732,"Africa"
"11",1996,"ETH",0.195193959553965,4.25880566070856e-06,0.498213433114673,-0.303015214755048,"Africa"
"12",1996,"GAB",0.0978225598052642,0.283494604099495,0.672689003476888,-0.291371839572128,"Africa"
"13",1996,"GHA",0.243953381104357,0.570414720303656,0.772352328607156,0.0420157728008578,"Africa"
"14",1996,"GIN",0.209994628556881,0.422722409228201,0.371453205702062,0.26126383208302,"Africa"
"15",1996,"GMB",0.190486658270484,0.591054154520562,0.5856800999552,0.195860712835846,"Africa"
"16",1996,"GNB",0.504009309780835,0.144891675603095,0.339358656284794,0.309542329099136,"Africa"
"17",1996,"KEN",0.243858770130265,0.00309740658831806,0.56836853164577,-0.321412354927187,"Africa"
"18",1996,"LBR",0.222686001092225,0.113531382990655,0.368626202140681,-0.032408818057801,"Africa"
"19",1996,"MAR",0.176356096804321,0.135414989971901,0.796944027444727,-0.485172940668504,"Africa"
"20",1996,"MDG",0.388752203595121,0.0725730509492676,0.690583855685115,-0.229258601140726,"Africa"
"21",1996,"MLI",0.183501251708739,0.00165299983465284,0.519306239425164,-0.334151987881772,"Africa"
"22",1996,"MOZ",0.294294086734574,0.0666772951875897,0.629131126157124,-0.26815974423496,"Africa"
"23",1996,"MRT",0.0951466614890384,0.0691310064685212,0.647218022060139,-0.48294035410258,"Africa"
"24",1996,"MUS",0.223484479511924,0.160910186731675,1.07898874364509,-0.694594077401487,"Africa"
"25",1996,"MWI",0.341184152831518,0.00010356358805592,0.689906515433128,-0.348618799013555,"Africa"
"26",1996,"NER",0.160664969703641,0.00036673474972941,0.471686799933608,-0.310655095480238,"Africa"
"27",1996,"NGA",0.1472304739043,0.230884783566176,0.508547796090437,-0.130432538619961,"Africa"
"28",1996,"RWA",0.257135562541366,7.50445837329125e-05,0.277072797598371,-0.0198621904732716,"Africa"
"29",1996,"SDN",0.228677910682835,0.00178738270967161,0.32156961079714,-0.0911043174046332,"Africa"
"30",1996,"SEN",0.17881724683616,0.454916393262899,0.667793173709453,-0.0340595336103945,"Africa"
"31",1996,"SLE",0.128321147653459,0.441843268092697,0.337504090471545,0.232660325274611,"Africa"
"32",1996,"STP",0.12545770533882,0.686776774723009,0.654688132797357,0.157546347264472,"Africa"
"33",1996,"TCD",0.104975773402365,0.00182528143504142,0.456825558022474,-0.350024503185068,"Africa"
"34",1996,"TGO",0.172122889247339,0.380336692524835,0.52564168290132,0.0268178988708548,"Africa"
"35",1996,"TUN",0.272153440417142,0.12582215546918,0.850873051526184,-0.452897455639861,"Africa"
"36",1996,"TZA",0.400051142682523,0.0589284350231514,0.65003972326247,-0.191060145556795,"Africa"
"37",1996,"UGA",0.331766608569879,0.00013944886545899,0.506440811237674,-0.174534753802336,"Africa"
"38",1996,"ZAF",0.34153903915782,0.0750012389170572,0.897056228637085,-0.480515950562208,"Africa"
"39",1996,"ZWE",0.326172833671689,0.00043036150058771,0.578724470279722,-0.252121275107445,"Africa"
"40",1996,"ARE",0.309103805450497,0.0914988799039225,1.3984230727921,-0.997820387437675,"Asia"
"41",1996,"ARM",0.405971538802176,0.00064639569449867,0.812594529244343,-0.405976594747668,"Asia"
"42",1996,"AZE",0.328933217314178,0.00039072243682193,0.673632934076344,-0.344308994325344,"Asia"
"43",1996,"BGD",0.251955992413428,0.109872726298183,0.524077187584335,-0.162248468872724,"Asia"
"44",1996,"BRN",0.176267745253581,0.192077191691289,1.20672999621104,-0.838385059266174,"Asia"
"45",1996,"CHN",0.259061399997119,0.0925099067535463,0.850046257918361,-0.498474951167696,"Asia"
"46",1996,"GEO",0.378792814313831,0.0140901043360303,0.697789824509729,-0.304906905859868,"Asia"
"47",1996,"IDN",0.130371856842966,0.401794946178671,0.704457074753683,-0.172290271732047,"Asia"
"48",1996,"IND",0.376503874472023,0.0716118899824327,0.772013961713117,-0.323898197258661,"Asia"
"49",1996,"IRN",0.43980541120841,0.0486106959288922,0.55236596381852,-0.0639498566812183,"Asia"
"50",1996,"IRQ",0.198376688571078,0.0306711916790123,0.32824580091129,-0.0991979206612004,"Asia"
"51",1996,"ISR",0.260468398832629,0.0529757284078448,1.20056495123669,-0.887120823996218,"Asia"
"52",1996,"JOR",0.205703054851017,0.059095274028611,0.866702161358432,-0.601903832478804,"Asia"
"53",1996,"JPN",0.296592906849385,0.35739314354562,1.33225352918109,-0.678267478786081,"Asia"
"54",1996,"KAZ",0.454184238468766,0.00064418098597103,0.64738650330597,-0.192558083851233,"Asia"
